edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
642,47,56,822,34,238,90,4,Cubism
1209,0,0,3,0,9,0,1,Op-Art
442,23,32,284,24,149,57,2,Surreal-Surrealism
109,0,3,48,3,23,9,2,ActionPainting
66,1,0,1,0,1,2,1,Hard-Edge-Art
706,45,61,589,53,247,79,1,Post-impressionism
635,32,25,642,38,259,111,2,Expressionism
396,22,21,311,15,113,22,2,Colour-Field-Painting
54,0,0,1,0,0,8,2,Colour-Field-Painting
81,0,1,14,0,13,10,1,Minimalism-Art
89,0,0,25,1,18,7,1,Hard-Edge-Art
7568,238,103,7251,510,3343,1051,2,ActionPainting
476,17,6,272,21,158,61,1,Post-impressionism
176,0,0,1,0,1,1,1,Colour-Field-Painting
1910,97,47,5880,118,602,204,1,Cubism
270,10,23,297,11,96,25,1,Expressionism
2792,1,0,17,2,2,24,2,ActionPainting
720,27,13,944,39,274,167,2,Cubism
1325,99,36,6204,58,336,157,1,Cubism
396,19,28,170,17,107,25,1,Minimalism-Art
68,2,2,52,4,22,0,3,Minimalism-Art
51,5,11,93,1,6,8,1,Colour-Field-Painting
860,12,19,341,24,147,47,2,Cubism
391,7,6,199,5,77,13,1,Surreal-Surrealism
781,27,55,637,51,220,184,1,Expressionism
475,5,9,262,10,73,28,1,ORPHISM
659,12,13,384,16,159,18,2,Expressionism
1872,9,2,18,0,2,1,3,Op-Art
650,21,14,230,14,151,97,3,ORPHISM
558,24,29,648,24,115,60,1,Surreal-Surrealism
47,9,12,81,10,53,1,1,Colour-Field-Painting
2383,33,20,2841,43,212,83,2,Cubism
11,0,0,1,0,0,0,1,Hard-Edge-Art
329,5,13,56,9,25,8,4,Hard-Edge-Art
124,0,0,175,1,6,13,1,Minimalism-Art
101,3,3,50,5,28,11,1,Post-impressionism
15,0,0,1,0,2,0,1,Hard-Edge-Art
280,2,0,163,7,55,7,1,Cubism
578,2,0,53,0,7,8,1,Op-Art
604,0,0,95,2,43,4,1,Op-Art
868,4,3,200,24,279,67,2,ActionPainting
12,0,0,1,0,0,0,1,Hard-Edge-Art
2904,95,102,790,164,488,161,2,Op-Art
320,20,22,618,16,154,39,1,ActionPainting
21,0,0,2,2,8,0,1,Hard-Edge-Art
160,1,2,22,2,5,10,1,ActionPainting
529,25,31,616,26,170,118,1,Minimalism-Art
289,3,8,82,16,66,22,1,ActionPainting
602,0,0,5,0,1,0,2,Minimalism-Art
1344,37,47,735,44,343,178,1,ORPHISM
167,1,4,382,4,4,4,1,Hard-Edge-Art
87,0,0,1,0,0,38,2,Colour-Field-Painting
